SongID,Cluster_Num,Cluster_Name
"Bacc At It AgainYella Beezy, Gucci Mane & Quavo",3,Sing Along
Famous HoesNLE Choppa,12,College Tailgate
HeatChris Brown Featuring Gunna,12,College Tailgate
Yellow HeartsAnt Saunders,3,Sing Along
Make It RightBTS Featuring Lauv,5,Who Tryin' to Drink?
Cuban LinksRod Wave & Kevin Gates,5,Who Tryin' to Drink?
PetaRoddy Ricch Featuring Meek Mill,5,Who Tryin' to Drink?
Don't Check On MeChris Brown Featuring Justin Bieber & Ink,2,"Bro, I'm Sad"
Dance MonkeyTones And I,3,Sing Along
Prayed For YouMatt Stell,6,Let's Dance
GoldenHarry Styles,6,Let's Dance
Bad Bad BadYoung Thug Featuring Lil Baby,3,Sing Along
Bad Bad BadYoung Thug Featuring Lil Baby,3,Sing Along
Watermelon SugarHarry Styles,12,College Tailgate
Better TogetherLuke Combs,2,"Bro, I'm Sad"
TakeawayThe Chainsmokers & Illenium Featuring Lennon Stella,12,College Tailgate
Valentino24kGoldn,5,Who Tryin' to Drink?
God's CountryBlake Shelton,12,College Tailgate
Hot ShowerChance The Rapper Featuring MadeinTYO & DaBaby,5,Who Tryin' to Drink?
FallingHarry Styles,2,"Bro, I'm Sad"
HIGHEST IN THE ROOMTravis Scott,12,College Tailgate
Just How It IsYoung Thug,5,Who Tryin' to Drink?
All I Want For Christmas Is YouMariah Carey,6,Let's Dance
La La LandBryce Vine Featuring YG,12,College Tailgate
Sleigh RideThe Ronettes,3,Sing Along
Rich As HellYoungBoy Never Broke Again,5,Who Tryin' to Drink?
Don't Start NowDua Lipa,3,Sing Along
I Don't Know About YouChris Lane,6,Let's Dance
The Git UpBlanco Brown,3,Sing Along
"Writing On The WallFrench Montana Featuring Post Malone, Cardi B & Rvssian",3,Sing Along
Look Back At ItA Boogie Wit da Hoodie,3,Sing Along
CamelotNLE Choppa,5,Who Tryin' to Drink?
Beer Never Broke My HeartLuke Combs,12,College Tailgate
Good As YouKane Brown,3,Sing Along
Cash ShitMegan Thee Stallion Featuring DaBaby,5,Who Tryin' to Drink?
Sup MateYoung Thug Featuring Future,5,Who Tryin' to Drink?
All Day LongChance The Rapper Featuring John Legend,3,Sing Along
It's YouAli Gatie,12,College Tailgate
One Thing RightMarshmello & Kane Brown,12,College Tailgate
The BonesMaren Morris,12,College Tailgate
Bad Vibes ForeverXXXTENTACION Featuring PnB Rock & Trippie Redd,3,Sing Along
On ChillWale Featuring Jeremih,5,Who Tryin' to Drink?
Sanguine ParadiseLil Uzi Vert,12,College Tailgate
Hot NowYoungBoy Never Broke Again,5,Who Tryin' to Drink?
"EarfquakeTyler, The Creator",4,Concert Pregame
One Man BandOld Dominion,2,"Bro, I'm Sad"
Racks In The MiddleNipsey Hussle Featuring Roddy Ricch & Hit-Boy,5,Who Tryin' to Drink?
CallaitaBad Bunny & Tainy,5,Who Tryin' to Drink?
Sicko ModeTravis Scott,5,Who Tryin' to Drink?
Do You RememberChance The Rapper Featuring Death Cab For Cutie,5,Who Tryin' to Drink?
Whiskey GlassesMorgan Wallen,6,Let's Dance
LiarCamila Cabello,3,Sing Along
JuicyDoja Cat & Tyga,6,Let's Dance
Lil BabyYoung Thug,3,Sing Along
Lil BabyYoung Thug,3,Sing Along
Good As HellLizzo,3,Sing Along
MotivationNormani,6,Let's Dance
Right BackKhalid Featuring A Boogie Wit da Hoodie,5,Who Tryin' to Drink?
"The LondonYoung Thug, J. Cole & Travis Scott",12,College Tailgate
Miss Me MoreKelsea Ballerini,12,College Tailgate
We BackJason Aldean,6,Let's Dance
CandyDoja Cat,2,"Bro, I'm Sad"
TalkKhalid,12,College Tailgate
Adore YouHarry Styles,12,College Tailgate
Please MeCardi B & Bruno Mars,3,Sing Along
High HopesPanic! At The Disco,3,Sing Along
What's The MoveYoung Thug Featuring Lil Uzi Vert,5,Who Tryin' to Drink?
No IdeaDon Toliver,12,College Tailgate
Heart On IceRod Wave,2,"Bro, I'm Sad"
Before I Let GoBeyonce,12,College Tailgate
"ChinaAnuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",3,Sing Along
"SolteraLunay, Daddy Yankee & Bad Bunny",3,Sing Along
It All Comes Out In The WashMiranda Lambert,6,Let's Dance
By My LonelyKevin Gates,6,Let's Dance
FallingTrevor Daniel,12,College Tailgate
SuicidalYNW Melly,2,"Bro, I'm Sad"
Walk Me HomeP!nk,12,College Tailgate
All To MyselfDan + Shay,12,College Tailgate
South Of The BorderEd Sheeran Featuring Camila Cabello & Cardi B,3,Sing Along
Fear InoculumTool,7,Long Talks and Beach Walks
Immortal21 Savage,5,Who Tryin' to Drink?
Beautiful PeopleEd Sheeran Featuring Khalid,12,College Tailgate
Call You MineThe Chainsmokers & Bebe Rexha,12,College Tailgate
