,0
0,3
1,12
2,12
3,3
4,5
5,5
6,5
7,2
8,3
9,6
10,6
11,3
12,3
13,12
14,2
15,12
16,5
17,12
18,5
19,2
20,12
21,5
22,6
23,12
24,3
25,5
26,3
27,6
28,3
29,3
30,3
31,5
32,12
33,3
34,5
35,5
36,3
37,12
38,12
39,12
40,3
41,5
42,12
43,5
44,4
45,2
46,5
47,5
48,5
49,5
50,6
51,3
52,6
53,3
54,3
55,3
56,6
57,5
58,12
59,12
60,6
61,2
62,12
63,12
64,3
65,3
66,5
67,12
68,2
69,12
70,3
71,3
72,6
73,6
74,12
75,2
76,12
77,12
78,3
79,7
80,5
81,12
82,12
83,1
84,6
85,2
86,11
87,5
88,3
89,12
90,5
91,6
92,5
93,5
94,2
95,6
96,12
97,12
98,2
99,5
100,12
101,3
102,5
103,3
104,12
105,6
106,2
107,6
108,5
109,3
110,5
111,3
112,12
113,3
114,3
115,3
116,5
117,3
118,3
119,3
120,5
121,2
122,12
123,4
124,12
125,9
126,12
127,12
128,12
129,5
130,4
131,6
132,5
133,12
134,3
135,5
136,12
137,3
138,5
139,6
140,6
141,5
142,12
143,6
144,3
145,2
146,12
147,4
148,5
149,5
150,2
151,5
152,12
153,12
154,5
155,12
156,6
157,12
158,3
159,2
160,12
161,2
162,2
163,5
164,6
165,2
166,12
167,3
168,8
169,5
170,3
171,6
172,5
173,5
174,2
175,3
176,6
177,3
178,5
179,3
180,12
181,3
182,4
183,3
184,2
185,12
186,6
187,2
188,5
189,12
190,6
191,12
192,2
193,2
194,2
195,6
196,3
197,2
198,12
199,3
200,12
201,12
202,3
203,3
204,6
205,12
206,9
207,10
208,5
209,12
210,6
211,3
212,5
213,12
214,0
215,12
216,5
217,7
218,3
219,10
220,12
221,2
222,5
223,12
224,5
225,10
226,3
227,12
228,8
229,12
230,8
231,3
232,6
233,3
234,8
235,10
236,9
237,10
238,2
239,12
240,11
241,7
242,12
243,5
244,3
245,2
246,11
247,3
248,11
249,3
250,6
251,3
252,11
253,11
254,6
255,11
256,6
257,7
258,12
259,8
260,12
261,3
262,11
263,4
264,2
265,3
266,6
267,5
268,12
269,8
270,12
271,10
272,4
273,11
274,11
275,3
276,12
277,5
278,0
279,10
280,11
281,3
282,2
283,11
284,6
285,10
286,9
287,6
288,11
289,4
290,11
291,3
292,6
293,6
294,9
295,6
296,10
297,3
298,12
299,0
300,2
301,0
302,12
303,11
304,10
305,10
306,4
307,0
308,7
309,3
310,5
311,3
312,8
313,0
314,11
315,0
316,2
317,2
318,2
319,8
320,1
321,10
322,8
323,0
324,7
325,8
326,4
327,11
328,7
329,0
330,7
331,8
332,9
333,10
334,3
335,6
336,6
337,6
338,3
339,8
340,8
341,1
342,6
343,3
344,5
345,3
346,3
347,7
348,3
349,9
350,10
351,9
352,0
353,3
354,0
355,12
356,8
357,8
358,10
359,4
360,11
361,0
362,1
363,3
364,10
365,2
366,3
367,1
368,10
369,7
370,0
371,10
372,7
373,8
374,10
375,5
376,12
377,10
378,8
379,8
380,11
381,11
382,6
383,8
384,2
385,6
386,4
387,8
388,10
389,0
390,0
391,0
392,1
393,9
394,11
395,0
396,12
397,5
398,10
399,12
400,12
401,7
402,10
403,2
404,5
405,6
406,7
407,6
408,3
409,3
410,8
411,3
412,8
413,0
414,11
415,11
416,2
417,3
418,9
419,5
420,5
421,11
422,8
423,3
424,12
425,9
426,3
427,10
428,7
429,11
430,10
431,8
432,12
433,3
434,8
435,8
436,6
437,11
438,11
439,2
440,6
441,3
442,0
443,11
444,0
445,4
446,7
447,0
448,12
449,2
450,11
451,2
452,11
453,2
454,8
455,2
456,3
457,2
458,0
459,0
460,3
461,8
462,8
463,10
464,10
465,3
466,4
467,8
468,12
469,8
470,10
471,3
472,3
473,3
474,3
475,11
476,6
477,4
478,1
479,3
480,3
481,11
482,4
483,2
484,2
485,0
486,6
487,7
488,8
489,2
490,12
491,6
492,6
493,9
494,4
495,5
496,0
497,11
498,6
499,2
500,11
501,3
502,11
503,11
504,0
505,12
506,12
507,4
508,6
509,5
510,8
511,8
512,4
513,2
514,10
515,9
516,11
517,10
518,7
519,5
520,3
521,11
522,10
523,2
524,11
525,1
526,10
527,11
528,0
529,5
530,1
531,3
532,0
533,11
534,2
535,0
536,9
537,5
538,2
539,5
540,11
541,3
542,4
543,3
544,6
545,6
546,0
547,8
548,0
549,4
550,11
551,3
552,3
553,11
554,0
555,3
556,2
557,2
558,0
559,2
560,8
561,3
562,6
563,5
564,11
565,0
566,12
567,4
568,12
569,11
570,10
571,7
572,9
573,0
574,3
575,2
576,12
577,2
578,12
579,3
580,10
581,3
582,5
583,3
584,3
585,8
586,3
587,1
588,2
589,11
590,3
591,9
592,2
593,8
594,11
595,0
596,8
597,3
598,6
599,11
600,7
601,6
602,12
603,11
604,11
605,2
606,2
607,6
608,0
609,1
610,11
611,5
612,8
613,1
614,2
615,10
616,0
617,10
618,11
619,6
620,11
621,11
622,6
623,7
624,1
625,7
626,12
627,6
628,6
629,11
630,3
631,12
632,6
633,10
634,12
635,8
636,2
637,2
638,7
639,3
640,11
641,3
642,10
643,3
644,10
645,4
646,9
647,8
648,10
649,8
650,9
651,7
652,3
653,4
654,10
655,0
656,5
657,1
658,8
659,11
660,5
661,6
662,12
663,10
664,5
665,2
666,7
667,0
668,3
669,12
670,2
671,6
672,4
673,5
674,2
675,6
